Part,Chapter,Word,WordTranslation,Example,ExampleTranslation
5,1,rain,n.雨 vi.下雨；像雨一样下,It has been raining all night and it looks like it's not going to stop.,雨已经下了一整晚，并且似乎还不会停。
5,1,shower,n.阵雨 vi.下起阵雨 vt.大量给予,John was showered with congratulations when he was promoted.,约翰荣升时，大家纷纷向他道贺。
5,1,pour,vt.倾倒 vi.下大雨,Will you pour me a glass of milk?,帮我倒一杯牛奶好吗？
5,1,hail,vi.下冰雹 n.冰雹,According to the weather forecast;it is going to hail tomorrow.,据天气预报，明天会下冰雹。
5,1,snow,vi.下雪 n.雪,Ihere is a blanket of snow over the mountain.,山上覆着一层白雪。
5,1,cloudy,adj.多云的;阴天的,It is beginning to cloud over;you'd better take an umbrella with you.,这天开始变阴了，你最好带上一把伞。
5,1,clear up,放晴,I hope it will clear up soon.,我希望天气尽快放晴。
5,1,sun,n.太阳;阳光,We tried our best to keep out of the sun.,我们尽可能不被阳光照到。
5,1,blanket,vi.覆盖 n.覆盖层,The mountain was soon blanketed with snow.,那座山很快就莜一层雪覆盖了。
5,1,melt,vi&v.(使)融化,The ice in the glass began to melt in the hot sun.,在炽热的阳光下，杯子里的冰块开始融化了。
5,1,thick,adj.浓的;厚的,The air is thick with dust.,空气中布满了灰尘。
5,1,linger,adj.挥之不去的;拖延的,It looks like the miserable weather is going to linger Tor a long time.,这令人难受的天气似乎将会持续很久。
5,1,minus,adj.负的 prep.零下,The temperature is minus 10 degrees Centigrade.,气温是零下10摄氏度。
